department,institution,ancmNo,ancmDate,period,title,link,bsnsTitle#1,bsnsTitle#2,bsnsTitle#3,bsnsTitle#4,bsnsTitle#5,bsnsTitle#6,bsnsTitle#7,bsnsTitle#8,bsnsTitle#9,bsnsTitle#10,bsnsTitle#11,bsnsTitle#12,bsnsTitle#13,bsnsTitle#14,bsnsTitle#15,bsnsTitle#16,bsnsTitle#17,bsnsTitle#18,bsnsTitle#19,bsnsTitle#20,bsnsTitle#21,bsnsTitle#22,bsnsTitle#23,bsnsTitle#24,bsnsTitle#25,bsnsTitle#26,bsnsTitle#27,bsnsTitle#28,bsnsTitle#29,bsnsTitle#30,bsnsTitle#31,bsnsTitle#32,bsnsTitle#33,bsnsTitle#34,bsnsTitle#35,bsnsTitle#36,bsnsTitle#37,bsnsTitle#38,bsnsTitle#39,bsnsTitle#40
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-456호,2023-03-08,2023-03-08 ~ 2023-03-15,2023년도 갯벌 공간정보 변화 모니터링 기술개발 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,해당없음(정책지정),2023-03-15,2023-03-15 ~ 2023-03-16,2023년 방송통신정책연구(정책지정) 과제 접수,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2023-233호,2023-03-09,2023-03-10 ~ 2023-03-20,2023년도 반도체 분야 신규지원 대상과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_032,2023-03-07,2023-03-07 ~ 2023-03-10,2023년도 한-스웨덴 협력활동사업 신규과제 지정공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-459호,2023-03-08,2023-03-08 ~ 2023-03-21,2023년도 기술창업 Scale-up사업 신규과제 선정계획 부분 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-457호,2023-03-09,2023-03-09 ~ 2023-03-16,2023년도 해저활성단층 특성 규명 연구사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-455호,2023-03-08,2023-03-08 ~ 2023-03-15,2023년도 탄소중립 실현을 위한 파력발전 상용화 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-492호,2023-03-10,2023-03-10 ~ 2023-03-17,고품질 준실시간 해양그리드 데이터서비스 체계 개발사업 신규과제 선정계획 재공고  ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,II_2023_002,2023-03-09,2023-03-09 ~ 2023-03-23,ICT전문인력 수급 실태조사 및 전망,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-460호,2023-03-08,2023-03-08 ~ 2023-03-15,2023년도 해양 위험유해물질(HNS) 배출 등 관리기술 개발사업 신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-490호,2023-03-10,2023-03-10 ~ 2023-03-17,2023년도 해양수산 과학기술 국제협력 고도화사업(석학우수신진 참여형 UN 해양과학 10개년 계획 이행 연구) 신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술진흥원,제2023 -229호,2023-03-03,2023-03-03 ~ 2023-04-03,2023년도 대·중견·중소디지털협업공장구축기술개발사업 시행계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-452호,2023-03-09,2023-03-09 ~ 2023-03-16,2023년도 급격한 남극 빙상 용융에 따른 근미래 전지구 해수면 상승 예측기술 개발사업신규과제 선정계획 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 0304호,2023-03-10,2023-03-10 ~ 2023-03-22,2023년도 원전해체 경쟁력 강화 기술개발사업 신규과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 0305호,2023-03-10,2023-03-10 ~ 2023-03-22,2023년도 원자력국제공동연구지원사업 신규과제 재공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0000호,2023-03-10,2023-03-10 ~ 2023-03-22,2023년도 미래원자력기술 시설ㆍ장비구축활용사업 신규과제(1차) 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,과학기술정보통신부 공고 제2023-0359호,2023-03-24,2023-03-24 ~ 2023-04-14,2023년도 제2차 60㎓ 이하 대역 5G 전파 응용서비스 활용기반 조성사업 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,과학기술정보통신부 공고 제2023-0314,2023-03-17,2023-04-10 ~ 2023-04-28,2023년도 제2차 ICT R&amp;D 혁신 바우처지원사업 신규지원 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양경찰청,한국산업기술기획평가원,해양경찰청 공고 제2023- 31 호,2023-03-14,2023-03-14 ~ 2023-03-20,2023년 수상레저기구 안전인증 기술기준 개발사업 신규 연구개발과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-477호,2023-03-10,2023-03-10 ~ 2023-03-17,2023년도 LNG벙커링 동시작업 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-475호,2023-03-13,2023-03-13 ~ 2023-03-20,순환적응형 연안침식 관리기술 개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,과학기술사업화진흥원,과학기술정보통신부 공고 제2023-0289호,2023-03-08,2023-03-31 ~ 2023-04-14,2023년 산학연협력 기술창업법인 육성사업 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소벤처기업부,중소기업기술정보진흥원,TI_2023_100,2023-03-15,2023-03-15 ~ 2023-03-22,2023년 창업성장기술개발사업 디딤돌(지역창업허브연계) 추천과제 대상 신청 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농촌진흥청,한국농업기술진흥원,2023-76,2023-03-13,2023-03-13 ~ 2023-03-17,2023년 농업실용화기술R&amp;D지원(기관지정공모),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,정보통신기획평가원,과학기술정보통신부 제2023-0327호,2023-03-15,2023-04-03 ~ 2023-04-13,2023년도 상반기 방송통신정책연구(R&amp;D) 신규과제 공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-496호,2023-03-13,2023-03-13 ~ 2023-03-20,2023년도 해양방사능오염사고대비신속탐지·예측기술개발 사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술진흥원,2023-231호,2023-03-03,2023-03-03 ~ 2023-04-03,23년 전사적DX기술개발사업 시행계획,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농촌진흥청,농촌진흥청,제2023-74호,2023-03-13,2023-03-13 ~ 2023-03-27,2023년도 농업연구개발사업 정기공모(4차),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-489호,2023-03-10,2023-03-10 ~ 2023-03-17,2023년도 쿠로시오 해류로 인한 한반도 해양위기 대응기술 개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국에너지기술평가원,산업통상자원부 공고 제2023-259호,2023-03-14,2023-03-14 ~ 2023-05-19,2023년도 한-스페인 에너지국제공동연구 신규지원대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단, 과학기술정보통신부 공고 제 2023 - 0308 호 ,2023-03-13,2023-03-30 ~ 2023-04-12,2023년도 DACU 원천기술개발사업 신규과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단, 과학기술정보통신부 공고 제 2023 - 0309 호 ,2023-03-13,2023-03-30 ~ 2023-04-12,2023년도 디지털 기반 기후변화 예측 및 피해 최소화 사업 신규과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,재공고-국-제20호,2023-03-13,2023-03-14 ~ 2023-03-20,2023년 지역도심 융합기술 연구개발사업 시행 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-491호,2023-03-10,2023-03-10 ~ 2023-03-17,2023년도 해양 무인시스템 실증 시험·평가기술 개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-494호,2023-03-13,2023-03-13 ~ 2023-03-20,2023년도 해양 디지털항로 실증기술 개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-495호,2023-03-13,2023-03-13 ~ 2023-03-20,2023년도 국제표준기반 지상파-위성 통합 VDES 체계 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023-0315호,2023-03-14,2023-03-14 ~ 2023-03-21,2023년도 제1차 과학기술분야 연구기획과제 재공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_035,2023-03-20,2023-03-20 ~ 2023-03-31,2023년도 원자력국제공동연구지원사업(한-아·태 원자력 공동연구) 신규과제 접수(정책지정),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농촌진흥청,농촌진흥청,제2023-97호,2023-03-28,2023-03-28 ~ 2023-05-31,2023년도 농업생명자원관리기관운영 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2023-0311호,2023-03-14,2023-03-14 ~ 2023-03-27,2023년 한-독일 글로벌 인재양성 플랫폼 사업 신규과제 재공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
개인정보보호위원회,한국인터넷진흥원,제2023-개인정보-05호,2023-03-13,2023-03-20 ~ 2023-03-27,2023년도 개인정보 기술 표준개발 지원 및 표준화 기반 구축 사업 신규과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기획재정부,한국산업기술기획평가원,"2023-261, 0431, 0312, 47",2023-03-15,2023-03-15 ~ 2023-03-23,2023년도 난접근성 특수화재 진화를 위한 고기능성 소화탄 및 무인 능동진압 기술개발 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0238호,2023-02-27,2023-03-14 ~ 2023-03-29,2023년도 차세대지능형반도체기술개발(소자)사업(신소자원천) 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0239호,2023-02-27,2023-03-14 ~ 2023-03-29,2023년도 국가반도체연구실지원핵심기술개발사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0240호,2023-02-27,2023-03-14 ~ 2023-03-29,2023년도 반도체설계검증인프라활성화사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 0316호,2023-03-14,2023-03-31 ~ 2023-04-14,2023년도 경호(보안검색) 대응기술개발사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국탄소산업진흥원,CI_2023_002,2023-03-14,2023-04-05 ~ 2023-04-12,2023년도 (탄소)창업지원사업 주관기관 모집 수정 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
해양수산부,해양수산과학기술진흥원,해양수산부 공고 제2023-502호,2023-03-14,2023-03-15 ~ 2023-03-22,2023년도 선박배출 온실가스(GHG) 통합관리 기술개발사업 신규과제 선정계획 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 336호,2023-03-17,2023-03-17 ~ 2023-03-27,2023년도 양자정보과학 인적기반 조성사업 신규과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 - 0328호,2023-03-15,2023-03-15 ~ 2023-03-27,2023년도 STEAM연구사업 상반기 신규과제 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국에너지기술평가원,산업통상자원부 공고 제2023-262호,2023-03-15,2023-03-15 ~ 2023-06-07,2023년 한-영국 국제공동기술개발사업 공동 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023-0339호,2023-03-20,2023-03-20 ~ 2023-04-20,2023년도 미래원자력기술 시설ㆍ장비구축활용사업 신규과제 공고(2차),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_037,2023-03-15,2023-03-16 ~ 2023-04-07,우주개발기반조성 및 성과확산사업 정책지정,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,공고-국-제22호,2023-03-15,2023-04-07 ~ 2023-04-17,2023년 국토교통연구기획사업 제1차 시행 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023-0333 호,2023-03-20,2023-03-20 ~ 2023-04-28,2023년도 한-필리핀 협력기반조성사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
기상청,한국기상산업기술원,제2023-19호,2023-03-20,2023-04-04 ~ 2023-04-18,2023년도 스마트시티 기상기후 융합기술 개발사업 2차 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
경찰청,과학치안진흥센터,과기정통부 2023-0331호/경찰청 2023-40호,2023-03-17,2023-03-24 ~ 2023-04-17,2023년도 미래치안도전기술개발(융합탐색연구) 사업 신규과제 선정계획 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_039,2023-03-17,2023-03-17 ~ 2023-04-14,2023년 바이오·의료기술개발사업(국가전임상시험 지원체계 구축) 정책지정 과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2023-221호,2023-03-31,2023-05-01 ~ 2023-05-15,2023년 리빙랩 활용 기술개발사업 시행계획 공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
국토교통부,국토교통과학기술진흥원,재공고-국-제3호,2023-04-24,2023-04-25 ~ 2023-05-02,2023년 다목적 복수 저고도 드론 교통관리시스템 및 드론 식별기술 개발 사업 시행 재공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제2023 - 0347호,2023-03-21,2023-03-21 ~ 2023-03-28,2023년도 상반기 원자력정책연구사업 재공고 ,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술진흥원,산업통상자원부 제2023-285호,2023-03-21,2023-03-22 ~ 2023-04-21,2023년 수요기반 조달연계 혁신제품 사업화(R&amp;D) 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_040,2023-03-24,2023-03-24 ~ 2023-04-07,(지정) 용융염원자로(MSR) 사업단 운영 연구개발계획서 정책지정 접수,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002096,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,과학기술사업화진흥원,과학기술정보통신부 공고 제2023-0354호,2023-03-22,2023-03-29 ~ 2023-04-06,2023년도 연구장비산업육성사업-연구장비핵심기술개발(재공고),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2023-328호,2023-04-06,2023-04-17 ~ 2023-05-17,2023년도 탄소중립산업핵심기술개발사업 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국원자력연구원,과기정통부 제 2023-0364호 / 해수부 제 2023-558호 ,2023-03-27,2023-03-27 ~ 2023-04-28,2023년도 용융염원자로(MSR) 원천기술개발사업신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농촌진흥청,농촌진흥청,제2023-100호,2023-03-29,2023-03-29 ~ 2023-04-11,2023년 농업연구개발사업 정기공모(5차),https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0346호,2023-03-22,2023-04-06 ~ 2023-04-25,2023년도 우주개발기반조성 및 성과확산사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,제2003-0001호,2023-04-06,2023-04-11 ~ 2023-04-26,2023년도 선도연구센터(혁신연구센터) 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,NR_2023_041,2023-03-22,2023-04-03 ~ 2023-05-24,2023년도 NRF-IIASA 박사후연구원 지원사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
농림축산식품부,농림식품기술기획평가원,농림축산식품부 공고 제 2023-120호,2023-03-27,2023-03-27 ~ 2023-04-12,2023년도 농업분야창의도전형융복합모델개발사업(애그테크) 시행계획 추가공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
산업통상자원부,한국산업기술기획평가원,산업통상자원부 공고 제2023-320호,2023-03-31,2023-03-31 ~ 2023-04-14,2023년도 세라믹분야스마트그린제조혁신지원사업 신규지원 대상과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0396호,2023-03-31,2023-04-03 ~ 2023-04-12,2023년도 우주국제협력기반조성사업 신규과제 재공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2023-226호,2023-03-29,2023-04-17 ~ 2023-05-02,2023년 창업성장기술개발사업 하반기(디딤돌_여성참여활성화) 시행계획 수정공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
중소벤처기업부,중소기업기술정보진흥원,중소벤처기업부 공고 제2023-226호,2023-03-29,2023-04-17 ~ 2023-05-02,2023년 창업성장기술개발사업 하반기(디딤돌_R&amp;D 기획지원 연계) 시행계획 수정공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,과학기술정보통신부 공고 제 2023 ？ 0379호,2023-03-30,2023-04-17 ~ 2023-04-28,2023년도 기후기술국제협력촉진사업(CTCN 기술지원) 신규과제 공고,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
과학기술정보통신부,한국연구재단,제 2023-0385호,2023-03-29,2023-04-10 ~ 2023-05-02,2023년도 한의디지털융합기술개발사업 신규과제 공모,https://www.iris.go.kr/contents/retrieveBsnsAncmView.do?ancmId=002199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
